seed,organ,jamming,k,avoidance,reachability,safety
1,Intestines,0,10,0.0,0.0,0.9999999999948325
1,Intestines,0,11,2.113745289441545e-20,2.113745289441545e-20,0.9999999999893393
1,Intestines,0,12,8.238617077374639e-16,8.238617077374639e-16,0.9999999999834308
1,Intestines,0,13,1.2561822956004059e-11,1.2561822956004059e-11,0.99999999997735
1,Intestines,0,14,9.286743636245988e-08,9.286743636245988e-08,0.9999999999711847
1,Intestines,0,15,0.0003280656880796633,0.0003280656880796633,0.9999999999649734
1,Intestines,0,16,0.43076005713569926,0.43076005713569926,0.9999999999587049
1,Intestines,0,17,0.6621501897208405,0.6621501897208405,0.9999999999523986
1,Intestines,0,18,0.7950906180877884,0.7950906180877884,0.9999999999460392
1,Intestines,0,19,0.8481467754579983,0.8481467754579983,0.999999999939641
1,Intestines,0,20,0.8694510588747348,0.8694510588747348,0.9999999999331906
1,Pancreas,0,1,0.0,0.0,1.0
1,Pancreas,0,2,0.0,0.0,1.0
1,Pancreas,0,3,0.0,0.0,1.0
1,Pancreas,0,4,0.0,0.0,1.0
1,Pancreas,0,5,0.0,0.0,1.0
1,Pancreas,0,6,0.0,0.0,1.0
1,Pancreas,0,7,0.0,0.0,1.0
1,Pancreas,0,8,0.0,0.0,1.0
1,Pancreas,0,9,0.0,0.0,0.9999999999987208
1,Pancreas,0,10,1.483351664110561e-20,1.483351664110561e-20,0.9999999999948325
1,Pancreas,0,11,6.002272240934725e-16,6.002272240934725e-16,0.9999999999893393
1,Pancreas,0,12,9.61203237536157e-12,9.61203237536157e-12,0.9999999999834308
1,Pancreas,0,13,7.595322281923302e-08,7.595322281923302e-08,0.99999999997735
1,Pancreas,0,14,0.00029509155251468666,0.00029509155251468666,0.9999999999711847
1,Pancreas,0,15,0.44867274603840207,0.44867274603840207,0.9999999999649734
1,Pancreas,0,16,0.6725057377650565,0.6725057377650565,0.9999999999587049
1,Pancreas,0,17,0.8006511206125513,0.8006511206125513,0.9999999999523986
1,Pancreas,0,18,0.8501448412673085,0.8501448412673085,0.9999999999460392
1,Pancreas,0,19,0.8699847651326249,0.8699847651326249,0.999999999939641
1,Pancreas,0,20,0.876909288574576,0.876909288574576,0.9999999999331906
1,Kidneys,0,1,0.0,0.0,1.0
1,Kidneys,0,2,0.0,0.0,1.0
1,Kidneys,0,3,0.0,0.0,1.0
1,Kidneys,0,4,0.0,0.0,1.0
1,Kidneys,0,5,0.0,0.0,1.0
1,Kidneys,0,6,0.0,0.0,1.0
1,Kidneys,0,7,0.0,0.0,1.0
1,Kidneys,0,8,0.0,0.0,1.0
1,Kidneys,0,9,0.0,0.0,0.9999999999987208
1,Kidneys,0,10,0.0,0.0,0.9999999999948325
1,Kidneys,0,11,0.0,0.0,0.9999999999893393
1,Kidneys,0,12,4.3166525215510945e-24,4.3166525215510945e-24,0.9999999999834308
1,Kidneys,0,13,1.8176747378102201e-19,1.8176747378102201e-19,0.99999999997735
1,Kidneys,0,14,3.104583830864318e-15,3.104583830864318e-15,0.9999999999711847
1,Kidneys,0,15,2.748611651016487e-11,2.748611651016487e-11,0.9999999999649734
1,Kidneys,0,16,1.3356034265912105e-07,1.3356034265912105e-07,0.9999999999587049
