seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
9,Heart,1,0.8043189644737008,0.8043189644737008,0.7284715855407992,278,
9,Lungs,1,0.7896075153453823,0.7896075153453823,0.7284715855407992,278,
9,Liver,1,0.7887169616193492,0.7887169616193492,0.7284715855407992,278,
9,Intestines,1,0.8179974449117351,0.8179974449117351,0.7284715855407992,278,
9,Pancreas,1,0.8040492083568979,0.8040492083568979,0.7284715855407992,278,
9,Kidneys,1,0.7907718822595156,0.7907718822595156,0.7284715855407992,278,
10,Heart,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Lungs,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Liver,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Intestines,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Pancreas,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Kidneys,0,0.9795912793297968,0.9795912793297968,1.0,138,
10,Heart,1,0.968829072953558,0.968829072953558,0.763601171602889,271,
10,Lungs,1,0.9666440736674461,0.9666440736674461,0.763601171602889,271,
10,Liver,1,0.9646495887397304,0.9646495887397304,0.763601171602889,271,
10,Intestines,1,0.966711177782318,0.966711177782318,0.763601171602889,271,
10,Pancreas,1,0.9678024334008228,0.9678024334008228,0.763601171602889,271,
10,Kidneys,1,0.9608957873563407,0.9608957873563407,0.763601171602889,271,
11,Heart,0,0.9276642957837529,0.9276642957837529,0.9999999433479536,143,
11,Lungs,0,0.9276643208376684,0.9276643208376684,0.9999999433479536,143,
11,Liver,0,0.9276636009745838,0.9276636009745838,0.9999999433479536,143,
11,Intestines,0,0.9276638836322355,0.9276638836322355,0.9999999433479536,143,
11,Pancreas,0,0.9276639757541523,0.9276639757541523,0.9999999433479536,143,
11,Kidneys,0,0.9276636777101273,0.9276636777101273,0.9999999433479536,143,
11,Heart,1,0.8890837920705511,0.8890837920705511,0.7623735480014001,278,
11,Lungs,1,0.8910723212275826,0.8910723212275826,0.7623735480014001,278,
11,Liver,1,0.8870271210568227,0.8870271210568227,0.7623735480014001,278,
11,Intestines,1,0.8900667576494355,0.8900667576494355,0.7623735480014001,278,
11,Pancreas,1,0.8900869936787893,0.8900869936787893,0.7623735480014001,278,
11,Kidneys,1,0.8861576276304054,0.8861576276304054,0.7623735480014001,278,
12,Heart,0,0.8813475311774059,0.8813475311774059,0.9559675817672239,140,
12,Lungs,0,0.8813474877003448,0.8813474877003448,0.9559675817672239,140,
12,Liver,0,0.8813475223539693,0.8813475223539693,0.9559675817672239,140,
12,Intestines,0,0.8813476248116444,0.8813476248116444,0.9559675817672239,140,
12,Pancreas,0,0.8813477670837762,0.8813477670837762,0.9559675817672239,140,
12,Kidneys,0,0.8813475425557291,0.8813475425557291,0.9559675817672239,140,
12,Heart,1,0.84902030892865,0.84902030892865,0.7154064649637117,277,
12,Lungs,1,0.8511240881295019,0.8511240881295019,0.7154064649637117,277,
12,Liver,1,0.8492025830366485,0.8492025830366485,0.7154064649637117,277,
12,Intestines,1,0.8463030996516752,0.8463030996516752,0.7154064649637117,277,
12,Pancreas,1,0.8455455542231503,0.8455455542231503,0.7154064649637117,277,
12,Kidneys,1,0.8482512256249455,0.8482512256249455,0.7154064649637117,277,
13,Heart,0,0.8816866542462571,0.8816866542462571,0.957493725615623,140,
13,Lungs,0,0.8816869749209724,0.8816869749209724,0.957493725615623,140,
13,Liver,0,0.8816806833680101,0.8816806833680101,0.957493725615623,140,
13,Intestines,0,0.8816797490244139,0.8816797490244139,0.957493725615623,140,
13,Pancreas,0,0.8816886339538375,0.8816886339538375,0.957493725615623,140,
13,Kidneys,0,0.8816898976673875,0.8816898976673875,0.957493725615623,140,
13,Heart,1,0.7987191535145518,0.7987191535145518,0.7267578103475824,278,
13,Lungs,1,0.7975054431493378,0.7975054431493378,0.7267578103475824,278,
13,Liver,1,0.800800154997776,0.800800154997776,0.7267578103475824,278,
13,Intestines,1,0.7996209984719146,0.7996209984719146,0.7267578103475824,278,
13,Pancreas,1,0.7999583070520723,0.7999583070520723,0.7267578103475824,278,
13,Kidneys,1,0.814518790761836,0.814518790761836,0.7267578103475824,278,
14,Heart,0,0.9882977869754278,0.9882977869754278,1.0,140,
14,Lungs,0,0.9882969893273356,0.9882969893273356,1.0,140,
14,Liver,0,0.988297717462175,0.988297717462175,1.0,140,
14,Intestines,0,0.9882969898805797,0.9882969898805797,1.0,140,
14,Pancreas,0,0.9882977284739282,0.9882977284739282,1.0,140,
14,Kidneys,0,0.9882970414854594,0.9882970414854594,1.0,140,
14,Heart,1,0.9406312511595,0.9406312511595,0.7656740693100172,273,
14,Lungs,1,0.9416792855544672,0.9416792855544672,0.7656740693100172,273,
14,Liver,1,0.9395909493902239,0.9395909493902239,0.7656740693100172,273,
14,Intestines,1,0.9396759064362834,0.9396759064362834,0.7656740693100172,273,
14,Pancreas,1,0.9386583228801975,0.9386583228801975,0.7656740693100172,273,
14,Kidneys,1,0.9411318790211582,0.9411318790211582,0.7656740693100172,273,
15,Heart,0,0.9787347260010235,0.9787347260010235,0.999999999999931,142,
15,Lungs,0,0.9787347256740101,0.9787347256740101,0.999999999999931,142,
15,Liver,0,0.9787347256754666,0.9787347256754666,0.999999999999931,142,
15,Intestines,0,0.9787347256843864,0.9787347256843864,0.999999999999931,142,
15,Pancreas,0,0.9787347259977451,0.9787347259977451,0.999999999999931,142,
15,Kidneys,0,0.9787347335414964,0.9787347335414964,0.999999999999931,142,
15,Heart,1,0.894337188036861,0.894337188036861,0.7504580978910144,277,
15,Lungs,1,0.8964823691848787,0.8964823691848787,0.7504580978910144,277,
15,Liver,1,0.8954715310401221,0.8954715310401221,0.7504580978910144,277,
15,Intestines,1,0.8994610339898717,0.8994610339898717,0.7504580978910144,277,
15,Pancreas,1,0.898507448719715,0.898507448719715,0.7504580978910144,277,
15,Kidneys,1,0.9112970705928689,0.9112970705928689,0.7504580978910144,277,
16,Heart,0,0.9999998247796436,0.9999998247796436,1.0,144,
16,Lungs,0,0.9999998247796436,0.9999998247796436,1.0,144,
16,Liver,0,0.9999998247796436,0.9999998247796436,1.0,144,
16,Intestines,0,0.9999998247796436,0.9999998247796436,1.0,144,
16,Pancreas,0,0.9999998247796436,0.9999998247796436,1.0,144,
16,Kidneys,0,0.9999998250901256,0.9999998250901256,1.0,144,
16,Heart,1,0.947170958570033,0.947170958570033,0.7610912974119303,280,
16,Lungs,1,0.9472032212609823,0.9472032212609823,0.7610912974119303,280,
16,Liver,1,0.947191856530264,0.947191856530264,0.7610912974119303,280,
16,Intestines,1,0.9472847643256841,0.9472847643256841,0.7610912974119303,280,
16,Pancreas,1,0.947100654172742,0.947100654172742,0.7610912974119303,280,
16,Kidneys,1,0.9472556319551008,0.9472556319551008,0.7610912974119303,280,
17,Heart,0,0.9591934036953232,0.9591934036953232,0.9995473400002879,142,
17,Lungs,0,0.9591896516993577,0.9591896516993577,0.9995473400002879,142,
17,Liver,0,0.9591877806170301,0.9591877806170301,0.9995473400002879,142,
17,Intestines,0,0.9591906082369422,0.9591906082369422,0.9995473400002879,142,
17,Pancreas,0,0.9591803308757891,0.9591803308757891,0.9995473400002879,142,
17,Kidneys,0,0.9591943595013517,0.9591943595013517,0.9995473400002879,142,
17,Heart,1,0.9394459229239833,0.9394459229239833,0.7594277453888609,276,
17,Lungs,1,0.9446521847138933,0.9446521847138933,0.7594277453888609,276,
17,Liver,1,0.9456992515453042,0.9456992515453042,0.7594277453888609,276,
17,Intestines,1,0.9394484311585108,0.9394484311585108,0.7594277453888609,276,
17,Pancreas,1,0.9447154116318361,0.9447154116318361,0.7594277453888609,276,
17,Kidneys,1,0.9437137104628421,0.9437137104628421,0.7594277453888609,276,
