seed,organ,jamming,k,avoidance,reachability,safety
1,Liver,0,16,2.7053853373069673e-09,2.7053853373069673e-09,0.998125153792811
1,Liver,0,17,3.027059251626442e-08,3.027059251626442e-08,0.9976520488374706
1,Liver,0,18,1.996360071899746e-07,1.996360071899746e-07,0.9971450189116284
1,Liver,0,19,9.033291192131442e-07,9.033291192131442e-07,0.9966085312422069
1,Liver,0,20,3.118884810971644e-06,3.118884810971644e-06,0.9960462282942928
1,Intestines,0,1,0.0,0.0,0.9999999999999999
1,Intestines,0,2,0.0,0.0,0.9999999999999997
1,Intestines,0,3,0.0,0.0,0.9999999999999997
1,Intestines,0,4,0.0,0.0,0.9999999999999997
1,Intestines,0,5,0.0,0.0,0.9999999999999997
1,Intestines,0,6,0.0,0.0,0.9999999999999996
1,Intestines,0,7,0.0,0.0,0.9999999999999994
1,Intestines,0,8,0.0,0.0,0.9999999999999994
1,Intestines,0,9,0.0,0.0,0.9999788759696461
1,Intestines,0,10,0.0,0.0,0.9999067463548926
1,Intestines,0,11,7.468578799967434e-18,7.468578799967434e-18,0.9997676911370456
1,Intestines,0,12,1.3949308136272962e-14,1.3949308136272962e-14,0.9995584999568458
1,Intestines,0,13,7.134751117246596e-12,7.134751117246596e-12,0.9992828685474823
1,Intestines,0,14,2.0114068292899286e-09,2.0114068292899286e-09,0.9989472301943705
1,Intestines,0,15,5.25285537548844e-08,5.25285537548844e-08,0.9985589839988546
1,Intestines,0,16,4.935716155985182e-07,4.935716155985182e-07,0.998125153792811
1,Intestines,0,17,2.5945275479131947e-06,2.5945275479131947e-06,0.9976520488374706
1,Intestines,0,18,9.210028729341661e-06,9.210028729341661e-06,0.9971450189116284
1,Intestines,0,19,2.588065627050994e-05,2.588065627050994e-05,0.9966085312422069
1,Intestines,0,20,6.342176073679063e-05,6.342176073679063e-05,0.9960462282942928
1,Pancreas,0,1,0.0,0.0,0.9999999999999999
1,Pancreas,0,2,0.0,0.0,0.9999999999999997
1,Pancreas,0,3,0.0,0.0,0.9999999999999997
1,Pancreas,0,4,0.0,0.0,0.9999999999999997
1,Pancreas,0,5,0.0,0.0,0.9999999999999997
1,Pancreas,0,6,0.0,0.0,0.9999999999999996
1,Pancreas,0,7,0.0,0.0,0.9999999999999994
1,Pancreas,0,8,0.0,0.0,0.9999999999999994
1,Pancreas,0,9,0.0,0.0,0.9999788759696461
1,Pancreas,0,10,1.8501112901760026e-17,1.8501112901760026e-17,0.9999067463548926
1,Pancreas,0,11,3.4685480097853287e-14,3.4685480097853287e-14,0.9997676911370456
1,Pancreas,0,12,1.8183599432553983e-11,1.8183599432553983e-11,0.9995584999568458
1,Pancreas,0,13,5.324236026708401e-09,5.324236026708401e-09,0.9992828685474823
1,Pancreas,0,14,1.1566843184739008e-07,1.1566843184739008e-07,0.9989472301943705
1,Pancreas,0,15,9.060120202623612e-07,9.060120202623612e-07,0.9985589839988546
1,Pancreas,0,16,3.9129835249841324e-06,3.9129835249841324e-06,0.998125153792811
1,Pancreas,0,17,1.1850469203682165e-05,1.1850469203682165e-05,0.9976520488374706
1,Pancreas,0,18,2.8364714866970647e-05,2.8364714866970647e-05,0.9971450189116284
1,Pancreas,0,19,5.861281685296157e-05,5.861281685296157e-05,0.9966085312422069
1,Pancreas,0,20,0.00011070595389331128,0.00011070595389331128,0.9960462282942928
1,Kidneys,0,1,0.0,0.0,0.9999999999999999
1,Kidneys,0,2,0.0,0.0,0.9999999999999997
1,Kidneys,0,3,0.0,0.0,0.9999999999999997
1,Kidneys,0,4,0.0,0.0,0.9999999999999997
1,Kidneys,0,5,0.0,0.0,0.9999999999999997
1,Kidneys,0,6,0.0,0.0,0.9999999999999996
1,Kidneys,0,7,0.0,0.0,0.9999999999999994
1,Kidneys,0,8,0.0,0.0,0.9999999999999994
1,Kidneys,0,9,0.0,0.0,0.9999788759696461
1,Kidneys,0,10,0.0,0.0,0.9999067463548926
1,Kidneys,0,11,0.0,0.0,0.9997676911370456
1,Kidneys,0,12,3.2761733295223925e-21,3.2761733295223925e-21,0.9995584999568458
1,Kidneys,0,13,7.574719886732192e-18,7.574719886732192e-18,0.9992828685474823
1,Kidneys,0,14,4.140165136929213e-15,4.140165136929213e-15,0.9989472301943705
